cancer_id,n,coef,HR,HR_ci_lower,HR_ci_upper,p_value,concordance
BRCA,1367,-0.8236352123799845,0.4388334984812234,0.20975967974818827,0.9180736718346042,0.028747989506522582,0.5244777764703696
KIRC,1046,-1.0466060243312503,0.35112744707817456,0.15191267781943413,0.8115878533731158,0.014352346093327277,0.5309903823635649
LUAD,641,1.3004112961716738,3.6708061456913685,1.7544131169614523,7.680527253799361,0.0005558127357696209,0.5612953429905423
PAAD,86,2.230740343987838,9.306753728723486,0.9223449697688699,93.9081014219804,0.05856777818819567,0.5846090194455937
SKCM,242,-0.15741304255336447,0.8543511025688532,0.2052582301911016,3.556085452851471,0.828718809222363,0.4968511934992382
