cancer_id,cutoff,n,n_events,HR,HR_lower,HR_upper,p
OV,36,264,133,0.9009960234386345,0.7909292204082116,1.0263798748429755,0.11681574240680652
OV,48,264,185,0.8999453186029245,0.7918036046215798,1.022856642414995,0.10653314441151422
OV,60,264,218,0.9046869746267775,0.7928831857873825,1.0322561213687125,0.1366797076207264
OV,84,264,246,0.8978932435779926,0.7925172949262359,1.0172803571915072,0.09084132531808532
OV,120,264,262,0.8996016436021272,0.7929140908665673,1.0206441359708867,0.10044381878938967
OV,180,264,264,0.8989337636766459,0.7928292609603034,1.0192382537686386,0.09639064471704503
