label,n,n_events,HR,HR_lower,HR_upper,p,concordance,model
METABRIC Univariate,1979,1143,1.0371939474761966,0.981992284858922,1.0954987134504892,0.1906236023673888,0.48653007975805734,univariate
METABRIC Multivariate,1463,821,1.0164376571662168,0.9389910048814298,1.1002719999815196,0.6867980972664547,0.6534669904323102,multivariate
METABRIC Early (I-II),1326,725,1.0384077416396078,0.9694110413236565,1.1123152016349507,0.2826585616402989,0.4971103778443228,stage_early
METABRIC Advanced (III-IV),128,96,0.9835351643035405,0.8136526518207516,1.1888874414124058,0.8637506055145738,0.5610162432319866,stage_advanced
