cancer_id,n,concordance,ssgsea_coef,ssgsea_HR,ssgsea_HR_lower,ssgsea_HR_upper,ssgsea_p,ssgsea_z
BRCA,770,0.7347487105673504,-0.12462338030801322,0.88282933089182,0.7741177403687062,1.0068076041141785,0.06305948473938039,-1.8587718459289668
KIRC,1044,0.7498929781675462,-0.0854098093941788,0.9181359465572999,0.8406663898922588,1.0027445208897978,0.05756117066996545,-1.8990251397090403
LUAD,340,0.678453143235656,0.12598967067410605,1.134270451973364,0.9849370551631543,1.306245360021245,0.08024968975679947,1.749239147669436
LAML,149,0.6537228796844181,0.05185886684045437,1.0532270867570102,0.8571652392240188,1.2941347193253925,0.6216981399489517,0.49344507481047145
SKCM,205,0.6616326814670471,0.07554863615832659,1.0784756793564105,0.902780925976553,1.2883632756253862,0.40501850393136674,0.8326919177153086
PAAD,86,0.5709557302441043,0.258382670304847,1.2948342184358892,0.9652206285453349,1.7370076888630577,0.08474357317735388,1.7238021122694702
