iteration,gini,selectivity,mean_pli,mean_centrality
0,0.33362114333176235,0.012637621828354878,0.3240789188009444,0.32966231603893853
1,0.3430614333579726,0.030033143190685993,0.29934690228341326,0.327558521167928
2,0.0868549392617491,0.28707666133253473,0.3784588975010803,0.24760950190463585
3,0.282426802352926,0.217472136112464,0.2986362235604152,0.2014648379741948
4,0.3213989985793606,0.2556361300128215,0.06710756380670677,0.3558573076011112
5,0.27690422735218667,0.3161915607305194,0.2826099086649743,0.1242943032523197
6,0.2959857765640818,0.26975506274324557,0.2720800140983645,0.16217914659430802
7,0.3536614953254469,0.19451782207878573,0.11040648768829346,0.3414141949074739
8,0.2630320716477138,0.10777429241062463,0.3554001094473284,0.2737935264943332
9,0.2687860272353078,0.14578265161950033,0.2869166023222285,0.2985147188229633
10,0.2400536593439628,0.13196349360774912,0.3353945998658946,0.2925882471823935
11,0.15795650908294082,0.3153083264174146,0.3518457644768752,0.17488940002276943
12,0.05437751094254516,0.39292160580104873,0.3824920232602371,0.17020885999616892
13,0.2832111723264601,0.13071675448510706,0.25747629228229274,0.32859578090614006
14,0.16914130047181955,0.271506895912149,0.30624091108858426,0.25311089252744723
15,0.25557089799896127,0.2527042357083203,0.292458919523518,0.19926594676920037
16,0.36282432319180624,0.17412617417920498,0.12966628299355842,0.3333832196354304
17,0.08089213280913077,0.2632194419621802,0.37783374183547663,0.27805468339321227
18,0.15933733361188848,0.36165477973797977,0.25210050444145043,0.2269073822086812
19,0.01430378637846925,0.40598168359778175,0.275284258739978,0.3044302712837709
20,0.31522962531753473,0.14698438038003006,0.33850879548504215,0.1992771988173931
21,0.30913129807919243,0.23975155092205566,0.13081979112437964,0.3202973598743723
22,0.32964935638178394,0.11562306067015204,0.3207180899250764,0.2340094930229877
23,0.07843481721794761,0.4209769861641051,0.36756853683262947,0.13301965978531785
24,0.18162423684049622,0.38518552545935836,0.3964023371972494,0.03678790050289615
25,0.37826269869859797,0.012760276652289447,0.2962963222251345,0.31268070242397816
26,0.3248684760015874,0.16931827029646382,0.2375318446430013,0.2682814090589475
27,0.03780706794006535,0.28295989115513465,0.3104408757315534,0.36879216517324664
28,0.033572168641231595,0.38703183971681226,0.39198598291795345,0.18741000872400282
29,0.0075177662844840105,0.3900164958867667,0.2071468955232143,0.39531884230553505
30,0.27863000573830665,0.15579179817508568,0.33073329994176864,0.23484489614483905
31,0.19882287504312934,0.28415112150862437,0.3124369341354846,0.20458906931276166
32,0.25966200986945354,0.18507398105731884,0.2869073719221165,0.26835663715111124
33,0.16741772039175787,0.24475261359212638,0.4069473286221948,0.18088233739392087
34,0.29798924208779043,0.1351213903015451,0.280835551420861,0.2860538161898036
35,0.0452113248052389,0.39096229123590365,0.32815951687560957,0.23566686708324783
36,0.3000155940741236,0.26043980692284274,0.2322159164313933,0.20732868257164042
37,0.2892355509129972,0.11796979846251043,0.35063438370510297,0.24216026691938947
38,0.3187871465233147,0.121786252515612,0.3244098553634427,0.23501674559763064
39,0.3108869214620928,0.17632528109938012,0.3113514171011047,0.20143638033742245
